"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "CSS", "JavaScript React", "SCSS", "XML", "comment", "blank", "total"
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-horizontal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 8, 40
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-skew.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 8, 40
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-to-bottom-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 8, 40
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-to-top-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 8, 40
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-top.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 1, 8, 41
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-vertical.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 8, 40
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_back-pulse.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 1, 3, 27
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-bottom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-top.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_fade.scss", "SCSS", 0, 0, 0, 0, 0, 0, 12, 0, 1, 2, 15
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_radial-in.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 4, 36
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_radial-out.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 4, 36
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_rectangle-in.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 4, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_rectangle-out.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 4, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-in-horizontal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-in-vertical.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
